N° de Bien | Descripcion
PGEB-BM-316 | MONITOR: VIT. NEGRO/ MODELO.TFT20W90PSI LED, BACKLIGHT 19.5 PULGADAS 50-60HZ, 1.5A,0100-240BAC,
PGEB-BM-320 | MONITOR: VIT. NEGRO/ MODELO.TFT20W90PSI LED, BACKLIGHT 19.5 PULGADAS 50-60HZ, 1.5A,0100-240BAC,
PGEB-BM-322 | MONITOR: VIT. NEGRO/ MODELO.TFT20W90PSI LED, BACKLIGHT 19.5 PULGADAS 50-60HZ, 1.5A,0100-240BAC,
PGEB-BM-326 | MONITOR: VIT. NEGRO/ MODELO.TFT20W90PSI LED, BACKLIGHT 19.5 PULGADAS 50-60HZ, 1.5A,0100-240BAC,
PGEB-BM-998 | MONITOR  LCD MARCA LG 19" MODELO:FLATRON W1934S-BN, SERIAL: 907UXMTOD163  COLOR NEGRO.
PGEB-BM-300 | IMPRESORA HP LASERJET PRO	
PGEB-BM-405 | IMPRESORA EPSON 80 COLUMNAS, MOD.: LX-300, SER: 1YMY-482789
PGEB-BM-472 | TELEFONO SIEMENS, COLOR BEIGE, IP S30054-560700, MOD.: EUROSET 805 S, SER: 0138547
PGEB-BM-317 | CPU VIT 1201/COLOR NEGRO CON ACABOS BRILLANTES.
PGEB-BM-323 | CPU VIT 1201/COLOR NEGRO CON ACABOS BRILLANTES.
PGEB-BM-327 | CPU VIT 1201/COLOR NEGRO CON ACABOS BRILLANTES.
PGEB-BM-329 | CPU VIT 1201/COLOR NEGRO CON ACABOS BRILLANTES.
PGEB-BM-1080 | SILLA EJECUTIVA PISA SAFA, COLOR NEGRO
PGEB-BM-1079 | MONITOR 15", MARCA SIRAGON, SVGA, COLOR NEGRO Y PLATEADO, MOD.: S/N, SER.: S/N
PGEB-BM-318 | MONITOR: VIT. NEGRO/ MODELO.TFT20W90PSI LED, BACKLIGHT 19.5 PULGADAS 50-60HZ, 1.5A,0100-240BAC,
PGEB-BM-324 | MONITOR: SERVIDOR 215 LM00019 21.5 " 50/60 HZ 1920X10080LED.
PGEB-BM-328 | MONITOR: VIT. NEGRO/ MODELO.TFT20W90PSI LED, BACKLIGHT 19.5 PULGADAS 50-60HZ, 1.5A,0100-240BAC,
PGEB-BM-330 | MONITOR: VIT. NEGRO/ MODELO.TFT20W90PSI LED, BACKLIGHT 19.5 PULGADAS 50-60HZ, 1.5A,0100-240BAC,
